index,pair_id,split,sequence_length,protein_chain_id,ligand_chain_id,rhea_id,uniprot_id,reactant_model,product_model,seq_cluster,structure_cluster,combined_cluster
37,split__A0A0D4WV12__RHEA_60620__01,train,279,A,B,RHEA:60620,A0A0D4WV12,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_046/split__A0A0D4WV12__RHEA_60620__01__reactant/split__A0A0D4WV12__RHEA_60620__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_046/split__A0A0D4WV12__RHEA_60620__01__product/split__A0A0D4WV12__RHEA_60620__01__product_model.cif,22,22,22
38,split__A0A0E3D8M9__RHEA_19361__01,test,364,A,B,RHEA:19361,A0A0E3D8M9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_048/split__A0A0E3D8M9__RHEA_19361__01__reactant/split__A0A0E3D8M9__RHEA_19361__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_048/split__A0A0E3D8M9__RHEA_19361__01__product/split__A0A0E3D8M9__RHEA_19361__01__product_model.cif,23,23,23
39,split__A0A0E3D8M9__RHEA_22408__00,test,364,A,B,RHEA:22408,A0A0E3D8M9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_047/split__A0A0E3D8M9__RHEA_22408__00__reactant/split__A0A0E3D8M9__RHEA_22408__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_047/split__A0A0E3D8M9__RHEA_22408__00__product/split__A0A0E3D8M9__RHEA_22408__00__product_model.cif,23,23,23
40,split__A0A0E3D8P4__RHEA_19361__01,test,341,A,B,RHEA:19361,A0A0E3D8P4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_050/split__A0A0E3D8P4__RHEA_19361__01__reactant/split__A0A0E3D8P4__RHEA_19361__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_050/split__A0A0E3D8P4__RHEA_19361__01__product/split__A0A0E3D8P4__RHEA_19361__01__product_model.cif,24,23,23
41,split__A0A0E3D8P4__RHEA_22408__00,test,341,A,B,RHEA:22408,A0A0E3D8P4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_049/split__A0A0E3D8P4__RHEA_22408__00__reactant/split__A0A0E3D8P4__RHEA_22408__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_049/split__A0A0E3D8P4__RHEA_22408__00__product/split__A0A0E3D8P4__RHEA_22408__00__product_model.cif,24,23,23
42,split__A0A0E3T3B5__RHEA_19105__00,test,503,A,B,RHEA:19105,A0A0E3T3B5,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_052/split__A0A0E3T3B5__RHEA_19105__00__reactant/split__A0A0E3T3B5__RHEA_19105__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_052/split__A0A0E3T3B5__RHEA_19105__00__product/split__A0A0E3T3B5__RHEA_19105__00__product_model.cif,25,24,24
43,split__A0A0E3T3B5__RHEA_30695__01,test,503,A,B,RHEA:30695,A0A0E3T3B5,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_053/split__A0A0E3T3B5__RHEA_30695__01__reactant/split__A0A0E3T3B5__RHEA_30695__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_053/split__A0A0E3T3B5__RHEA_30695__01__product/split__A0A0E3T3B5__RHEA_30695__01__product_model.cif,25,24,24
44,split__A0A0E3T552__RHEA_19105__00,test,503,A,B,RHEA:19105,A0A0E3T552,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_054/split__A0A0E3T552__RHEA_19105__00__reactant/split__A0A0E3T552__RHEA_19105__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_054/split__A0A0E3T552__RHEA_19105__00__product/split__A0A0E3T552__RHEA_19105__00__product_model.cif,25,24,24
45,split__A0A0E3T552__RHEA_30695__01,test,503,A,B,RHEA:30695,A0A0E3T552,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_055/split__A0A0E3T552__RHEA_30695__01__reactant/split__A0A0E3T552__RHEA_30695__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_055/split__A0A0E3T552__RHEA_30695__01__product/split__A0A0E3T552__RHEA_30695__01__product_model.cif,25,24,24
46,split__A0A0F5HNH9__RHEA_11148__00,train,192,A,B,RHEA:11148,A0A0F5HNH9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_056/split__A0A0F5HNH9__RHEA_11148__00__reactant/split__A0A0F5HNH9__RHEA_11148__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_056/split__A0A0F5HNH9__RHEA_11148__00__product/split__A0A0F5HNH9__RHEA_11148__00__product_model.cif,26,25,25
47,split__A0A0H2V871__RHEA_60384__00,train,318,A,B,RHEA:60384,A0A0H2V871,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_063/split__A0A0H2V871__RHEA_60384__00__reactant/split__A0A0H2V871__RHEA_60384__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_063/split__A0A0H2V871__RHEA_60384__00__product/split__A0A0H2V871__RHEA_60384__00__product_model.cif,27,26,26
48,split__A0A0H2V871__RHEA_60412__01,train,318,A,B,RHEA:60412,A0A0H2V871,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_064/split__A0A0H2V871__RHEA_60412__01__reactant/split__A0A0H2V871__RHEA_60412__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_064/split__A0A0H2V871__RHEA_60412__01__product/split__A0A0H2V871__RHEA_60412__01__product_model.cif,27,26,26
