index,stem,source_structure_path,selected_chain,aa_length,structure_length,seq_cluster,structure_cluster,combined_cluster,split
36,spec_unconditional_monomer_unconditional_monomer_110_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_110_model_0.cif,A,265,265,36,36,36,train
37,spec_unconditional_monomer_unconditional_monomer_110_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_110_model_1.cif,A,265,265,37,37,37,train
38,spec_unconditional_monomer_unconditional_monomer_110_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_110_model_2.cif,A,265,265,38,38,38,train
39,spec_unconditional_monomer_unconditional_monomer_111_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_111_model_0.cif,A,291,291,39,39,39,train
40,spec_unconditional_monomer_unconditional_monomer_111_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_111_model_1.cif,A,291,291,40,40,40,train
41,spec_unconditional_monomer_unconditional_monomer_111_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_111_model_2.cif,A,291,291,41,41,41,train
42,spec_unconditional_monomer_unconditional_monomer_112_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_112_model_0.cif,A,202,202,42,42,42,test
43,spec_unconditional_monomer_unconditional_monomer_112_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_112_model_1.cif,A,202,202,43,43,43,train
44,spec_unconditional_monomer_unconditional_monomer_112_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_112_model_2.cif,A,202,202,44,44,44,test
45,spec_unconditional_monomer_unconditional_monomer_113_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_113_model_0.cif,A,298,298,45,45,45,test
46,spec_unconditional_monomer_unconditional_monomer_113_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_113_model_1.cif,A,298,298,46,46,46,train
47,spec_unconditional_monomer_unconditional_monomer_113_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_113_model_2.cif,A,298,298,47,47,47,test
48,spec_unconditional_monomer_unconditional_monomer_114_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_114_model_0.cif,A,50,50,48,48,48,train
49,spec_unconditional_monomer_unconditional_monomer_114_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_114_model_1.cif,A,50,50,49,49,49,train
50,spec_unconditional_monomer_unconditional_monomer_114_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_114_model_2.cif,A,50,50,50,50,50,test
51,spec_unconditional_monomer_unconditional_monomer_115_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_115_model_0.cif,A,268,268,51,51,51,train
52,spec_unconditional_monomer_unconditional_monomer_115_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_115_model_1.cif,A,268,268,52,52,52,train
53,spec_unconditional_monomer_unconditional_monomer_115_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_115_model_2.cif,A,268,268,53,53,53,train
54,spec_unconditional_monomer_unconditional_monomer_116_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_116_model_0.cif,A,282,282,54,54,54,train
55,spec_unconditional_monomer_unconditional_monomer_116_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_116_model_1.cif,A,282,282,55,55,55,train
56,spec_unconditional_monomer_unconditional_monomer_116_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_116_model_2.cif,A,282,282,56,56,56,train
57,spec_unconditional_monomer_unconditional_monomer_117_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_117_model_0.cif,A,260,260,57,57,57,test
58,spec_unconditional_monomer_unconditional_monomer_117_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_117_model_1.cif,A,260,260,58,58,58,train
59,spec_unconditional_monomer_unconditional_monomer_117_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_117_model_2.cif,A,260,260,59,59,59,train
60,spec_unconditional_monomer_unconditional_monomer_118_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_118_model_0.cif,A,394,394,60,60,60,train
61,spec_unconditional_monomer_unconditional_monomer_118_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_118_model_1.cif,A,394,394,61,61,61,train
62,spec_unconditional_monomer_unconditional_monomer_118_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_118_model_2.cif,A,394,394,62,62,62,test
63,spec_unconditional_monomer_unconditional_monomer_119_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_119_model_0.cif,A,253,253,63,63,63,test
64,spec_unconditional_monomer_unconditional_monomer_119_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_119_model_1.cif,A,253,253,64,64,64,train
65,spec_unconditional_monomer_unconditional_monomer_119_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_119_model_2.cif,A,253,253,65,65,65,train
66,spec_unconditional_monomer_unconditional_monomer_11_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_11_model_0.cif,A,392,392,66,66,66,test
67,spec_unconditional_monomer_unconditional_monomer_11_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_11_model_1.cif,A,392,392,67,67,67,train
68,spec_unconditional_monomer_unconditional_monomer_11_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_11_model_2.cif,A,392,392,68,68,68,train
69,spec_unconditional_monomer_unconditional_monomer_120_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_120_model_0.cif,A,343,343,69,69,69,train
70,spec_unconditional_monomer_unconditional_monomer_120_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_120_model_1.cif,A,343,343,70,70,70,train
71,spec_unconditional_monomer_unconditional_monomer_120_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_120_model_2.cif,A,343,343,71,71,71,train
72,spec_unconditional_monomer_unconditional_monomer_121_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_121_model_0.cif,A,136,136,72,72,72,test
73,spec_unconditional_monomer_unconditional_monomer_121_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_121_model_1.cif,A,136,136,73,73,73,train
74,spec_unconditional_monomer_unconditional_monomer_121_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_121_model_2.cif,A,136,136,74,74,74,train
75,spec_unconditional_monomer_unconditional_monomer_122_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_122_model_0.cif,A,264,264,75,75,75,train
76,spec_unconditional_monomer_unconditional_monomer_122_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_122_model_1.cif,A,264,264,76,76,76,train
77,spec_unconditional_monomer_unconditional_monomer_122_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_122_model_2.cif,A,264,264,77,77,77,test
78,spec_unconditional_monomer_unconditional_monomer_123_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_123_model_0.cif,A,26,26,78,78,78,train
79,spec_unconditional_monomer_unconditional_monomer_123_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_123_model_1.cif,A,26,26,79,79,79,test
80,spec_unconditional_monomer_unconditional_monomer_123_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_123_model_2.cif,A,26,26,80,80,80,train
81,spec_unconditional_monomer_unconditional_monomer_124_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_124_model_0.cif,A,70,70,81,81,81,train
82,spec_unconditional_monomer_unconditional_monomer_124_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_124_model_1.cif,A,70,70,82,82,82,test
83,spec_unconditional_monomer_unconditional_monomer_124_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_124_model_2.cif,A,70,70,83,83,83,train
84,spec_unconditional_monomer_unconditional_monomer_125_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_125_model_0.cif,A,223,223,84,84,84,train
85,spec_unconditional_monomer_unconditional_monomer_125_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_125_model_1.cif,A,223,223,85,85,85,train
86,spec_unconditional_monomer_unconditional_monomer_125_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_125_model_2.cif,A,223,223,86,86,86,train
87,spec_unconditional_monomer_unconditional_monomer_126_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_126_model_0.cif,A,97,97,87,87,87,train
88,spec_unconditional_monomer_unconditional_monomer_126_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_126_model_1.cif,A,97,97,88,88,88,test
89,spec_unconditional_monomer_unconditional_monomer_126_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_126_model_2.cif,A,97,97,89,89,89,train
90,spec_unconditional_monomer_unconditional_monomer_127_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_127_model_0.cif,A,24,24,90,90,90,test
91,spec_unconditional_monomer_unconditional_monomer_127_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_127_model_1.cif,A,24,24,91,91,91,train
92,spec_unconditional_monomer_unconditional_monomer_127_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_127_model_2.cif,A,24,24,90,92,90,test
93,spec_unconditional_monomer_unconditional_monomer_128_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_128_model_0.cif,A,122,122,92,93,92,train
94,spec_unconditional_monomer_unconditional_monomer_128_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_128_model_1.cif,A,122,122,93,94,93,train
95,spec_unconditional_monomer_unconditional_monomer_128_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_128_model_2.cif,A,122,122,94,95,94,train
96,spec_unconditional_monomer_unconditional_monomer_129_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_129_model_0.cif,A,130,130,95,96,95,train
97,spec_unconditional_monomer_unconditional_monomer_129_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_129_model_1.cif,A,130,130,96,97,96,train
98,spec_unconditional_monomer_unconditional_monomer_129_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_129_model_2.cif,A,130,130,97,98,97,train
99,spec_unconditional_monomer_unconditional_monomer_12_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_12_model_0.cif,A,281,281,98,99,98,train
100,spec_unconditional_monomer_unconditional_monomer_12_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_12_model_1.cif,A,281,281,99,100,99,train
101,spec_unconditional_monomer_unconditional_monomer_12_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_12_model_2.cif,A,281,281,100,101,100,test
102,spec_unconditional_monomer_unconditional_monomer_130_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_130_model_0.cif,A,164,164,101,102,101,train
103,spec_unconditional_monomer_unconditional_monomer_130_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_130_model_1.cif,A,164,164,102,103,102,train
104,spec_unconditional_monomer_unconditional_monomer_130_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_130_model_2.cif,A,164,164,103,104,103,train
105,spec_unconditional_monomer_unconditional_monomer_131_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_131_model_0.cif,A,146,146,104,105,104,train
106,spec_unconditional_monomer_unconditional_monomer_131_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_131_model_1.cif,A,146,146,105,106,105,train
107,spec_unconditional_monomer_unconditional_monomer_131_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_131_model_2.cif,A,146,146,106,107,106,train
108,spec_unconditional_monomer_unconditional_monomer_132_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_132_model_0.cif,A,131,131,107,108,107,train
109,spec_unconditional_monomer_unconditional_monomer_132_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_132_model_1.cif,A,131,131,108,109,108,train
110,spec_unconditional_monomer_unconditional_monomer_132_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_132_model_2.cif,A,131,131,109,110,109,train
111,spec_unconditional_monomer_unconditional_monomer_133_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_133_model_0.cif,A,145,145,110,111,110,train
112,spec_unconditional_monomer_unconditional_monomer_133_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_133_model_1.cif,A,145,145,111,112,111,train
113,spec_unconditional_monomer_unconditional_monomer_133_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_133_model_2.cif,A,145,145,112,113,112,train
114,spec_unconditional_monomer_unconditional_monomer_134_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_134_model_0.cif,A,291,291,113,114,113,test
115,spec_unconditional_monomer_unconditional_monomer_134_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_134_model_1.cif,A,291,291,114,115,114,train
116,spec_unconditional_monomer_unconditional_monomer_134_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_134_model_2.cif,A,291,291,115,116,115,train
117,spec_unconditional_monomer_unconditional_monomer_135_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_135_model_0.cif,A,84,84,116,117,116,train
118,spec_unconditional_monomer_unconditional_monomer_135_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_135_model_1.cif,A,84,84,117,118,117,train
119,spec_unconditional_monomer_unconditional_monomer_135_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_135_model_2.cif,A,84,84,118,119,118,test
120,spec_unconditional_monomer_unconditional_monomer_136_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_136_model_0.cif,A,392,392,119,120,119,train
121,spec_unconditional_monomer_unconditional_monomer_136_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_136_model_1.cif,A,392,392,120,121,120,train
122,spec_unconditional_monomer_unconditional_monomer_136_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_136_model_2.cif,A,392,392,121,122,121,test
123,spec_unconditional_monomer_unconditional_monomer_137_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_137_model_0.cif,A,254,254,122,123,122,train
124,spec_unconditional_monomer_unconditional_monomer_137_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_137_model_1.cif,A,254,254,123,124,123,train
125,spec_unconditional_monomer_unconditional_monomer_137_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_137_model_2.cif,A,254,254,124,125,124,train
